Date,AAPL,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AMAT,ADM,ARNC,AJG,AIZ,ATO,T,ADSK
2015-01-02,109.33,164.06,44.9,65.89,37.31,88.84,20.13,72.34,2.69,158.56,13.7,210.43,61.08,40.56,145.43,63.25,60.33,60.31,89.79,186.6,56.2,55.05,259.13,285.37,66.5,70.12,529.55,524.81,48.97,308.52,45.99,53.91,61.15,93.02,56.11,99.67,53.94,132.09,90.46,52.62,159.89,53.64,82.29,55.54,81.64,125.46,94.33,56.01,63.83,37.89,24.96,52.02,15.88,46.98,67.77,55.9,33.87,59.53
2015-01-05,106.25,160.36,44.91,64.65,37.07,87.34,19.85,71.98,2.66,156.47,13.31,202.8,59.48,39.8,140.78,61.94,59.47,58.31,90.87,182.17,56.99,54.94,256.69,281.4,65.69,68.73,519.46,513.87,48.69,302.19,45.53,53.875,60.25,90.56,55.0,98.23,53.11,127.85,89.69,51.04,157.99,52.66,75.8,54.525,80.855,123.26,93.42,55.03,59.91,38.22,24.16,50.22,14.96,46.7,66.25,54.89,33.55,58.66
2015-01-06,106.26,158.65,44.4,64.33,36.13,86.71,19.48,70.53,2.63,156.36,13.01,198.43,58.95,39.18,140.73,60.67,58.77,57.17,91.33,177.95,57.45,54.85,255.17,277.82,65.48,68.68,506.64,501.96,48.98,295.29,45.0,53.04,60.58,88.63,54.22,97.97,53.25,124.41,90.18,50.06,152.9,51.99,75.24,53.25,79.26,124.94,92.86,54.58,59.26,38.53,23.25,49.23,15.07,46.61,65.33,54.55,33.6,57.5
2015-01-07,107.75,159.8,44.76,66.93,37.28,88.53,19.055,71.11,2.58,159.72,13.03,203.3,59.32,39.7,142.25,60.16,59.67,56.94,92.57,187.93,59.57,55.6,265.23,279.95,66.56,69.81,505.15,501.1,49.88,298.42,45.35,53.01,61.44,90.3,54.48,99.0,53.93,126.62,91.98,50.21,158.24,52.88,76.44,53.81,79.71,125.56,93.92,54.98,58.6,38.92,23.465,49.97,15.46,47.06,65.59,55.33,33.17,57.38
2015-01-08,111.89,163.63,45.68,67.63,38.96,89.88,19.25,72.915,2.61,161.12,13.23,205.37,59.9,40.89,145.54,61.57,60.7,58.73,93.63,183.8,61.44,56.35,268.96,287.93,67.61,71.15,506.91,502.68,50.72,300.46,45.51,53.66,61.97,91.58,54.24,99.92,54.14,128.87,92.19,51.45,157.67,53.91,78.91,54.76,81.655,131.55,95.3,56.41,60.87,39.34,24.215,49.24,15.9,47.88,66.57,55.7,33.5,58.8
2015-01-09,112.01,161.62,45.2,65.78,38.41,89.78,18.9,71.84,2.63,160.3,12.9,205.34,58.63,40.59,143.36,60.78,59.73,59.02,93.36,184.27,62.58,55.88,268.68,290.75,66.65,70.42,500.72,496.17,50.6,296.93,45.0,52.02,61.64,90.42,53.32,99.41,54.3,127.68,93.0,50.99,155.73,53.6,79.14,54.72,80.76,129.8,94.78,55.51,60.69,39.55,24.24,48.82,16.11,47.23,66.34,55.25,33.4,58.27
2015-01-12,109.25,160.74,45.58,65.76,38.56,89.51,18.86,71.12,2.63,158.93,12.88,201.59,58.29,40.11,142.37,60.75,60.61,59.7,93.97,183.36,63.17,54.99,272.28,291.36,66.47,69.7,497.06,492.55,50.92,291.41,44.82,49.58,61.56,89.5,52.36,98.98,54.13,126.38,90.93,49.72,156.22,52.95,75.05,54.17,79.92,128.83,93.44,55.73,58.46,40.31,23.66,48.21,16.17,47.08,66.02,55.34,33.49,57.29
2015-01-13,110.22,160.62,44.61,63.39,38.81,89.83,18.56,70.59,2.66,153.76,13.02,201.17,58.0,39.55,141.62,60.79,61.41,60.99,94.28,179.21,62.65,55.1,269.9,287.55,66.93,70.12,501.8,496.18,51.32,294.74,45.21,50.4,61.87,89.23,51.87,97.88,54.25,127.3,91.64,49.72,155.14,52.83,75.8,53.55,80.63,130.28,93.83,55.49,58.46,38.86,23.33,48.28,15.8,47.31,66.02,55.61,33.49,57.34
2015-01-14,109.8,159.84,44.28,63.7,38.25,88.78,18.93,69.99,2.63,150.83,13.14,198.04,57.55,39.06,139.93,59.71,61.54,59.52,94.84,175.4,61.06,55.33,266.42,281.37,68.16,69.43,505.93,500.87,51.73,293.27,45.63,49.41,62.76,87.07,51.38,97.26,55.21,124.97,92.1,49.1,155.16,52.45,77.35,53.51,80.72,131.81,93.69,55.35,59.53,39.41,23.02,47.45,14.95,46.98,65.52,57.14,33.33,56.41
2015-01-15,106.82,159.66,43.95,62.89,37.11,88.17,18.55,70.29,2.52,148.02,13.1,194.37,57.36,38.01,139.46,58.63,61.47,58.08,95.25,172.87,59.63,53.8,263.75,279.65,68.32,69.23,504.01,501.79,52.47,286.95,46.05,49.41,63.16,85.88,50.4,96.28,55.25,122.86,91.4,48.33,151.92,51.93,75.48,52.73,80.83,134.09,93.55,54.23,60.0,39.45,23.325,47.21,14.97,46.7,64.66,57.31,33.26,55.71
2015-01-16,105.99,162.0,44.49,64.54,37.92,88.89,20.25,71.73,2.39,150.0,13.37,195.39,58.18,38.25,139.71,59.22,62.35,58.52,96.7,180.44,56.92,53.37,268.66,289.55,69.6,70.84,510.455,508.08,53.05,290.74,46.54,49.81,63.57,86.04,51.11,97.42,55.71,124.66,92.42,48.56,158.43,52.42,78.45,53.69,82.69,136.01,95.56,54.66,62.25,40.23,23.47,47.68,15.28,46.18,65.18,58.47,33.8,56.85
2015-01-20,108.72,161.94,44.22,63.45,37.87,88.62,20.22,71.49,2.24,152.66,13.09,197.79,58.01,37.93,141.38,59.65,64.6,57.8,95.53,183.06,56.24,52.79,269.01,293.28,69.57,70.36,509.94,506.9,53.83,289.44,46.26,52.75,63.53,87.26,50.65,97.13,56.14,125.16,92.44,48.46,157.6,52.35,77.77,54.39,82.5,137.13,94.67,54.51,60.16,39.66,23.63,47.2,15.55,45.58,64.45,58.22,33.95,57.1
2015-01-21,109.55,162.54,44.06,62.7,37.81,88.34,20.1,71.54,2.45,153.35,13.2,202.43,58.1,38.16,143.1,60.265,64.98,58.61,95.96,179.26,55.9,52.92,275.77,294.92,70.07,70.3,520.39,518.04,54.27,297.25,46.46,53.67,64.14,87.67,50.83,96.75,56.56,126.34,92.78,49.15,157.38,53.93,80.74,54.58,82.95,139.68,94.55,54.62,62.32,39.89,24.32,47.7,15.92,45.34,64.96,58.61,34.0,57.55
2015-01-22,112.4,165.89,44.49,62.98,38.94,89.5,20.59,73.48,2.47,156.54,12.92,210.59,59.15,39.65,144.32,60.64,67.94,59.55,98.16,180.32,58.01,54.36,278.01,294.43,70.05,71.95,537.3,534.39,54.66,310.32,46.3,55.59,64.08,84.37,52.28,98.83,56.53,130.23,94.15,49.29,159.57,54.76,81.52,54.75,84.64,142.86,95.7,55.76,63.76,40.5,24.62,48.08,16.04,46.17,65.96,58.64,33.79,58.27
