Date,AAPL,ABT,ACN,ATVI,ADBE,AMD,GOOGL,GOOG,AMZN,AAL,BLK,CBS,MSFT,FB
2015-01-02,109.33,44.9,88.84,20.13,72.34,2.69,529.55,524.81,308.52,53.91,356.73,54.79,46.76,78.45
2015-01-05,106.25,44.91,87.34,19.85,71.98,2.66,519.46,513.87,302.19,53.875,347.5,54.26,46.325,77.19
2015-01-06,106.26,44.4,86.71,19.48,70.53,2.63,506.64,501.96,295.29,53.04,342.1,53.19,45.65,76.15
2015-01-07,107.75,44.76,88.53,19.055,71.11,2.58,505.15,501.1,298.42,53.01,349.34,53.11,46.23,76.15
2015-01-08,111.89,45.68,89.88,19.25,72.915,2.61,506.91,502.68,300.46,53.66,353.42,53.74,47.59,78.175
2015-01-09,112.01,45.2,89.78,18.9,71.84,2.63,500.72,496.17,296.93,52.02,349.23,54.56,47.19,77.74
2015-01-12,109.25,45.58,89.51,18.86,71.12,2.63,497.06,492.55,291.41,49.58,346.93,54.85,46.6,76.72
2015-01-13,110.22,44.61,89.83,18.56,70.59,2.66,501.8,496.18,294.74,50.4,347.98,55.6,46.355,76.45
2015-01-14,109.8,44.28,88.78,18.93,69.99,2.63,505.93,500.87,293.27,49.41,345.75,54.47,45.955,76.28
2015-01-15,106.82,43.95,88.17,18.55,70.29,2.52,504.01,501.79,286.95,49.41,342.45,53.55,45.48,74.05
2015-01-16,105.99,44.49,88.89,20.25,71.73,2.39,510.455,508.08,290.74,49.81,348.07,55.56,46.24,75.18
2015-01-20,108.72,44.22,88.62,20.22,71.49,2.24,509.94,506.9,289.44,52.75,346.59,55.47,46.39,76.24
2015-01-21,109.55,44.06,88.34,20.1,71.54,2.45,520.39,518.04,297.25,53.67,349.5,56.19,45.92,76.74
2015-01-22,112.4,44.49,89.5,20.59,73.48,2.47,537.3,534.39,310.32,55.59,360.79,56.73,47.13,77.65
2015-01-23,112.98,43.86,89.22,20.65,74.06,2.45,541.95,539.95,312.39,55.69,355.12,55.88,47.18,77.83
2015-01-26,113.1,44.15,89.08,20.835,72.74,2.61,536.72,535.21,309.66,55.45,357.39,57.06,47.01,77.495
2015-01-27,109.14,43.68,86.16,20.47,71.46,2.7,521.19,518.63,306.75,52.695,351.48,57.08,42.66,75.78
2015-01-28,115.31,43.41,84.36,20.67,70.25,2.63,512.43,510.0,303.91,50.62,345.03,56.29,41.19,76.24
2015-01-29,118.9,45.26,85.64,20.745,71.64,2.61,513.23,510.66,311.78,52.24,346.94,55.72,42.01,78.0
2015-01-30,117.16,44.76,84.03,20.895,70.13,2.57,537.55,534.52,354.53,49.08,340.51,54.81,40.4,75.91
2015-02-02,118.63,45.23,85.83,21.125,71.11,2.67,532.2,528.48,364.47,48.72,347.64,55.37,41.28,74.99
2015-02-03,118.65,45.83,87.92,21.66,71.92,2.76,533.3,529.24,363.55,47.5,352.95,56.92,41.6,75.4
2015-02-04,119.56,45.17,87.34,21.52,72.28,2.85,526.1,522.76,364.75,49.46,350.78,56.74,41.84,75.63
2015-02-05,119.94,45.65,88.47,21.82,73.1,3.31,529.83,527.58,373.89,48.81,358.82,56.0,42.45,75.615
2015-02-06,118.93,45.5,88.15,22.105,72.54,3.03,533.875,531.0,374.28,48.145,362.43,56.74,42.41,74.47
2015-02-09,119.72,44.52,87.36,22.04,72.33,3.04,529.28,527.83,370.56,46.53,360.87,56.76,42.36,74.44
2015-02-10,122.02,44.92,87.52,22.28,72.76,3.04,540.16,536.94,372.995,48.05,370.67,57.0,42.6,75.19
2015-02-11,124.88,44.93,87.96,22.66,73.01,3.07,538.0,535.97,375.14,47.59,369.9,56.75,42.38,76.51
2015-02-12,126.46,45.22,89.09,22.94,74.59,3.12,546.01,542.93,377.17,47.88,374.88,57.77,43.09,76.23
2015-02-13,127.08,46.09,89.79,23.11,76.51,3.15,551.16,549.01,381.83,48.39,376.04,59.83,43.87,75.74
2015-02-17,127.83,46.41,89.3,23.49,77.13,3.11,545.01,542.84,375.43,48.01,380.33,60.2,43.58,75.6
2015-02-18,128.715,46.41,89.43,23.41,77.73,3.08,542.65,539.7,373.37,49.31,377.86,59.81,43.53,76.71
2015-02-19,128.45,46.61,90.27,23.315,77.73,3.055,546.45,542.87,378.995,49.78,377.61,59.54,43.5,79.42
2015-02-20,129.495,47.48,90.49,23.31,78.55,3.06,541.8,538.95,383.66,51.02,376.64,59.5,43.855,79.895
2015-02-23,133.0,47.32,90.57,23.37,78.1,3.06,535.0,531.91,380.14,51.31,376.43,59.67,44.15,78.84
2015-02-24,132.17,47.47,90.85,23.54,77.68,3.11,538.65,536.09,378.59,51.52,378.11,59.4,44.09,78.45
2015-02-25,128.79,47.4,90.6,23.455,78.07,3.1,547.33,543.87,385.37,49.73,375.92,59.78,43.99,79.56
2015-02-26,130.415,47.61,90.3,23.35,78.96,3.08,559.29,555.48,384.8,49.35,375.02,59.14,44.055,80.41
2015-02-27,128.46,47.37,90.03,23.32,79.1,3.11,562.63,558.4,380.16,47.9,371.42,59.1,43.85,78.97
2015-03-02,129.09,47.22,91.18,23.245,79.79,3.21,575.02,571.34,385.655,48.31,376.42,61.75,43.88,79.75
2015-03-03,129.36,47.09,90.84,23.1,78.99,3.14,578.795,573.64,384.61,48.77,373.66,62.8,43.28,79.6
2015-03-04,128.54,47.01,90.91,22.93,77.63,3.05,578.33,573.37,382.72,48.95,369.14,62.46,43.055,80.895
2015-03-05,126.41,47.44,92.05,23.29,78.62,2.98,581.435,575.33,387.83,48.395,369.94,61.55,43.11,81.21
2015-03-06,126.6,46.5,90.67,23.07,77.55,2.92,572.9,567.685,380.09,47.995,365.47,60.59,42.36,80.005
2015-03-09,127.14,46.83,90.79,23.315,77.93,2.93,574.1,568.85,378.56,47.92,364.59,60.51,42.85,79.44
2015-03-10,124.51,46.17,88.06,22.74,76.005,2.92,559.85,555.01,369.51,46.735,356.19,59.43,42.03,77.55
2015-03-11,122.24,46.3,86.86,22.81,76.01,2.84,555.69,551.18,366.37,47.39,358.41,59.59,41.98,77.57
2015-03-12,124.45,47.25,88.2,22.79,77.4,2.76,561.17,555.51,374.24,48.68,368.71,61.65,41.02,78.93
2015-03-13,123.59,46.88,87.87,22.99,77.62,2.75,553.0,547.32,370.58,49.22,367.74,60.93,41.38,78.05
2015-03-16,124.95,47.83,88.91,23.18,78.33,2.76,561.64,554.51,373.35,50.22,374.08,62.08,41.56,78.07
2015-03-17,127.04,47.09,88.84,23.105,79.66,2.77,557.61,550.84,371.92,53.69,374.26,61.77,41.695,79.365
2015-03-18,128.47,47.39,90.93,23.58,76.89,2.75,566.16,559.5,375.135,54.13,377.76,63.11,42.5,80.91
2015-03-19,127.495,47.44,90.19,23.15,77.14,2.74,563.67,557.99,373.24,55.19,369.95,62.63,42.285,82.75
2015-03-20,125.9,47.47,91.48,23.42,77.36,2.8,564.95,560.36,378.49,55.76,378.64,63.35,42.88,83.8
2015-03-23,127.21,47.47,91.54,23.18,76.35,2.84,565.37,558.81,375.11,54.395,374.33,62.68,42.855,84.43
2015-03-24,126.69,47.0,89.41,23.18,75.45,2.79,577.54,570.19,374.09,53.93,369.1,62.38,42.9,85.31
